time,Japan,Korea,Singapore,Thailand,Turkey,消费者信心指数,居民消费价格指数,出境游,出境旅游,出国旅游
2017M01,630570,565243,316805,859617,14228,109.2,102.5,369.13,492.68 ,349.32 
2017M02,509090,590790,268993,790051,13930,112.6,100.8,400.11,433.50 ,393.07 
2017M03,508979,360782,264711,789417,16786,111,100.9,373.97,586.48 ,402.77 
2017M04,528781,227811,252135,748127,17624,113.4,101.2,330.57,635.60 ,446.47 
2017M05,517038,253359,232361,762193,18517,112,101.5,316.74,747.26 ,596.42 
2017M06,587193,254930,218118,762481,17518,113.3,101.5,406.23,616.40 ,653.17 
2017M07,780771,281263,349654,937971,20604,114.6,101.4,1589,646.71 ,606.74 
2017M08,819855,339388,357287,983245,19734,114.7,101.8,1701.71,536.90 ,594.00 
2017M09,678313,318682,226978,760999,26561,118.6,101.6,867.27,780.73 ,462.57 
2017M10,663815,345384,245755,805616,27114,123.9,101.9,444.06,302.45 ,341.48 
2017M11,567149,299247,251096,790839,28791,121.3,101.7,313.23,221.33 ,304.97 
2017M12,564264,332474,244241,815704,25870,122.6,101.8,323.13,223.39 ,300.87 
2018M01,632304,305127,291208,969996,26039,122.3,101.5,387.74,269.19 ,347.55 
2018M02,716333,345341,366616,1198971,30315,124,102.9,413.71,237.07 ,337.25 
2018M03,594920,403413,274879,1004025,32652,122.3,102.1,356.42,223.71 ,357.32 
2018M04,683377,366604,291119,986703,34768,122.9,101.8,348.2,260.20 ,364.03 
2018M05,668600,370222,264802,869206,35235,122.9,101.8,333.1,246.81 ,379.58 
2018M06,760949,379891,242118,900652,32010,118.2,101.9,296.27,208.43 ,388.40 
2018M07,879097,410337,361019,929808,34010,119.7,102.1,350.26,211.00 ,536.26 
2018M08,860121,478140,380108,867750,34433,118.6,102.3,291.97,181.29 ,622.06 
2018M09,652740,434595,239824,647711,43490,118.5,102.5,266,155.17 ,498.07 
2018M10,715255,475307,247664,646583,37429,119.1,102.5,258.03,176.45 ,453.45 
2018M11,617252,404256,220053,675143,29571,122.1,102.2,202.2,172.70 ,710.80 
2018M12,599086,416279,238194,838693,24157,123,101.9,218.94,187.39 ,3153.23 
2019M01,754421,392814,320581,1069659,25033,123.7,101.7,234.58,165.00 ,820.06 
2019M02,723617,453379,339550,1064736,31074,126,101.5,261.57,171.32 ,884.04 
2019M03,691279,487623,300209,985227,32115,124.1,102.3,235.19,194.03 ,969.48 
2019M04,726132,493250,302097,898994,38139,125.3,102.5,226.5,172.33 ,608.67 
2019M05,756365,500413,283445,794913,41600,123.4,102.7,214.42,166.13 ,935.35 
2019M06,880651,475007,266105,836742,40480,125.9,102.7,227.6,160.13 ,3751.47 
2019M07,1050420,519132,389499,983808,43390,124.4,102.8,236.13,155.65 ,963.58 
2019M08,1000639,578112,397066,1031683,40491,122.4,102.8,207.9,167.87 ,657.77 
2019M09,819054,541350,248546,852154,45835,124.1,103,192.07,177.97 ,502.33 
2019M10,730631,567695,258602,826431,39375,124.3,103.8,195.35,159.74 ,375.84 
2019M11,750951,505369,248614,798944,26207,124.6,104.5,184.67,161.80 ,302.37 
2019M12,710234,508877,272716,854047,22605,126.6,104.5,182.94,156.94 ,276.84 
2020M01,924790,481681,329047,1030148,23580,126.4,105.4,299.61,204.97 ,410.90 
2020M02,87220,104086,6222,160564,5644,118.9,105.2,183.66,133.52 ,216.07 
2020M03,10365,16595,1488,56852,871,122.2,104.3,185.1,144.52 ,208.81 
2020M04,163,3935,18,0,48,116.4,103.3,177.97,142.13 ,214.37 
2020M05,25,5124,23,0,252,115.8,102.4,167.06,132.48 ,186.58 
2020M06,334,5051,118,0,110,112.6,102.5,156.3,139.70 ,177.50 
2020M07,785,9738,958,0,886,117.2,102.7,181.48,135.16 ,254.71 
2020M08,1606,16275,2163,0,1658,116.4,102.4,175.81,148.48 ,228.84 
2020M09,767,15307,2422,0,1827,120.5,101.7,182.53,150.70 ,201.63 
2020M10,4502,11477,3169,471,1826,121.7,100.5,188.03,145.87 ,191.90 
2020M11,18147,9174,4007,914,1188,124,99.5,175.63,156.80 ,205.13 
2020M12,18365,7987,7657,961,2374,122.1,100.2,165.06,154.77 ,182.81 
2021M01,10225,7346,6599,572,1795,122.8,99.7,137,134.19 ,161.68 
2021M02,1747,11982,4498,359,1915,127,99.8,150.71,134.32 ,178.50 
2021M03,3951,18980,8892,589,3055,122.2,100.4,184.45,148.29 ,209.13 
2021M04,3271,16830,9056,643,1809,121.5,100.9,180.8,137.67 ,190.37 
2021M05,1823,14221,7388,505,2320,121.8,101.3,163.65,132.65 ,175.00 
2021M06,1973,12942,6983,323,2306,122.8,101.1,205.13,139.50 ,185.13 
2021M07,3931,13469,12669,1032,2888,117.8,101,208.84,135.68 ,185.35 
2021M08,2396,17103,8907,976,3105,117.5,100.8,207.9,134.23 ,169.00 
2021M09,3960,19144,8952,697,3473,121.2,100.7,197.13,139.60 ,173.67 
2021M10,4009,14035,6065,504,3463,120.2,101.5,277.06,141.23 ,174.61 
2021M11,3189,12472,3479,2328,3482,119.5,102.3,216.87,153.47 ,170.00 
2021M12,1764,11691,4764,4515,4030,119.8,101.5,360.1,157.19 ,164.00 
2022M01,1490,9489,4361,3110,2576,121.5,100.9,170.03,135.90 ,156.00 
2022M02,2359,16752,3823,4898,3482,120.5,100.9,241.75,134.93 ,190.46 
2022M03,9799,14726,4131,5730,3795,113.2,101.5,213.03,143.29 ,178.68 
2022M04,22371,10230,5048,8728,7167,86.7,102.1,196.8,132.20 ,177.07 
2022M05,17643,11253,7150,14930,7087,86.8,102.1,191,144.55 ,212.13 
2022M06,14657,12741,10191,20040,9564,88.9,102.5,205.13,139.17 ,219.00 
2022M07,14803,17907,16622,27175,,87.9,102.7,208.84,143.94 ,215.07 
2022M08,12332,30248,14735,29985,,87,102.5,207.9,142.03 ,213.55 
2022M09,17590,29531,14127,32302,8803,87.2,102.8,197.13,155.80 ,219.00 
2022M10,21498,22940,14971,35410,8558,86.8,102.1,277.06,164.58 ,220.00 
2022M11,21016,24174,16024,37113,7717,85.5,101.6,216.87,146.00 ,220.77 
2022M12,33567,27367,19684,54146,10954,88.3,101.8,360.1,200.23 ,289.45 
2023M01,31200,24946,28363,91841,8899,91.2,102.1,352,175.16 ,269.26 
