date,日本旅游,日本旅游攻略,日本航空,日本酒店,日本签证,日本美食,日本小吃,日本购物,东京地铁,日本新干线,日本民宿,日本地图,日本旅游地图,日本旅游景点,京都,东京,大阪,名古屋,日本寿司,日本料理,日本樱花,日本拉面,韩国旅游,韩国旅游攻略,韩国旅游签证,韩国酒店,韩国签证,韩国美食,韩国购物,韩国旅游景点,首尔,济州岛,韩国风景,韩国地图,韩国攻略,釜山,韩国签证办理,韩国烧烤,韩国泡菜,韩国自由行,韩国免税店,韩国化妆品,韩国物价,韩国汇率,新加坡旅游,新加坡旅游攻略,新加坡航空,新加坡酒店,新加坡签证,新加坡汇率,新加坡旅游地图,新加坡地图,新加坡自由行,新加坡旅游签证,新加坡机票,新加坡环球影城,新加坡旅游注意事项,新加坡旅游景点
2017-01-31,1871.0,1766.0,747.6,433.2,1988.2,481.6,214.8,372.6,465.6,396.0,2635.0,2365.6,262.2,263.8,1734.4,3675.8,1621.0,1322.4,327.0,1199.6,587.6,1013.2,1242.0,1366.0,312.2,171.8,1611.4,572.4,230.8,251.4,1559.0,2855.2,127.6,872.6,228.2,1163.8,190.0,193.6,1160.4,275.4,837.0,1217.6,305.2,591.4,1290.8,887.8,1140.4,279.4,1458.4,532.8,159.2,739.0,205.8,337.8,183.4,524.4,201.4,281.4
2017-02-28,2155.25,2154.25,822.25,412.0,2342.5,503.0,222.25,376.5,467.25,429.5,1626.25,4504.5,354.5,336.25,1847.25,3996.5,1776.5,1461.0,360.5,1254.25,1086.0,1134.75,1449.0,1599.0,384.0,187.0,2066.75,577.5,255.25,331.0,1633.75,3404.5,130.5,1057.0,245.25,1129.25,216.5,204.5,1201.0,315.5,1085.75,1411.25,353.0,773.5,1478.0,956.0,1359.5,307.25,1564.75,780.75,162.75,841.0,220.25,358.75,200.0,613.5,202.25,293.0
2017-03-31,1861.5,1691.0,728.0,318.0,1907.0,502.5,217.5,337.0,433.75,392.0,1293.75,3785.25,289.75,307.75,1824.5,3868.0,1770.75,1428.75,389.25,1175.5,1351.25,920.25,6797.75,953.75,382.0,169.25,1985.0,453.5,195.5,240.5,1703.75,2642.25,139.5,1265.5,155.25,906.25,230.75,194.25,1207.25,305.75,941.25,1676.25,253.0,577.25,1255.25,807.25,1380.0,305.5,1598.25,787.5,164.75,804.25,201.25,346.25,182.5,473.75,176.75,297.0
2017-04-30,1772.4,1663.6,684.0,245.6,2001.2,485.4,199.6,334.0,427.0,378.8,422.2,2766.6,259.2,328.8,1980.8,3483.0,1663.0,1308.6,361.4,1036.8,1109.0,702.8,1374.0,287.6,225.6,130.0,1107.2,362.4,164.6,165.0,1386.4,1608.2,116.4,707.8,131.8,683.4,207.0,155.4,774.2,171.0,540.6,662.4,190.8,405.6,1190.0,681.4,1262.6,289.2,1508.6,621.6,161.4,727.4,186.8,311.8,174.0,491.4,167.8,279.6
2017-05-31,1877.5,1874.25,721.75,266.75,2573.0,541.25,206.25,367.75,436.0,398.0,646.5,2846.0,305.5,383.5,1886.75,4127.5,1720.75,1444.25,380.0,1118.5,580.25,749.75,1260.0,316.5,276.0,139.75,1297.5,380.25,161.75,239.5,1250.0,1768.25,125.25,637.25,133.75,695.5,304.5,149.75,736.0,191.75,636.0,729.25,217.5,458.0,1228.75,796.25,1316.0,290.75,1640.0,630.25,174.0,831.0,201.5,348.0,177.5,546.5,173.0,298.75
2017-06-30,2131.5,2148.0,731.5,275.5,2642.0,585.75,217.0,394.0,463.0,443.5,933.75,3024.25,347.0,392.25,1883.75,4447.0,1761.75,1474.0,402.5,1201.75,504.5,725.5,1246.75,391.5,298.25,135.25,1383.75,385.0,165.5,252.75,1243.0,1849.0,118.5,608.25,148.0,689.75,335.0,158.25,692.5,206.0,707.0,757.5,224.0,462.5,1374.25,1006.25,1359.25,313.25,1734.75,711.75,167.75,893.25,217.25,399.75,192.0,668.5,196.75,322.5
2017-07-31,2192.2,2318.0,841.4,302.6,2496.6,610.0,230.4,449.4,523.8,550.2,1015.4,3333.8,377.0,321.6,2177.8,4707.0,2083.6,1492.6,427.6,1290.4,466.2,772.8,1190.6,495.2,313.2,145.8,1389.6,420.6,168.4,225.4,1319.0,2385.2,130.2,714.6,163.2,808.6,369.2,157.2,743.2,223.6,793.4,747.8,249.8,602.6,1685.2,1105.8,1433.0,347.6,1874.0,865.6,186.8,1026.0,225.0,367.8,191.2,1039.2,263.2,405.0
2017-08-31,1937.0,2102.0,963.0,272.25,2403.25,583.0,224.5,462.75,543.5,520.5,925.0,3301.5,381.5,520.75,2240.5,4854.25,2130.0,1484.25,425.0,1254.0,441.0,740.25,1178.0,517.0,330.25,146.25,1428.25,495.25,173.5,218.25,1358.0,2592.25,123.0,826.75,166.0,875.25,371.0,154.25,823.25,234.25,1014.0,797.75,316.5,767.25,1550.5,1036.0,1370.25,330.25,1625.75,955.0,187.5,1055.75,209.75,348.5,179.25,1124.5,253.5,332.25
2017-09-30,1970.75,1929.0,846.0,267.0,2141.75,503.25,197.0,453.0,492.25,560.5,976.25,3038.5,333.0,691.25,1970.75,4869.5,1833.75,1377.0,373.5,1141.25,447.25,586.75,1111.5,495.5,327.75,140.25,1397.25,442.75,177.25,210.25,1342.5,2463.25,129.25,841.5,164.75,828.5,202.5,141.75,900.75,214.5,989.25,778.75,252.75,895.5,1211.25,746.5,1262.25,288.25,1538.5,859.5,164.25,875.5,187.0,316.0,170.25,656.75,210.25,284.25
2017-10-31,1629.8,1641.6,944.4,263.8,1868.0,483.0,198.2,387.2,512.6,558.6,559.2,2801.8,319.0,350.6,1958.6,4163.0,1763.8,1336.6,363.6,1059.6,492.4,552.8,1058.4,455.0,289.2,132.0,1389.8,414.6,169.8,219.8,1295.8,1587.4,105.8,808.0,162.6,822.6,170.4,152.6,1045.2,201.0,905.6,812.8,227.2,694.6,992.6,734.8,1227.0,275.2,1384.8,794.6,165.6,796.0,184.4,288.0,166.0,628.2,207.8,295.8
